TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2018-12-23 14:34:48.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-12-23 14:34:48.584,1.553102356845621,0.1922175736734308,0.9177994804039359,0,1.377319804236434,0.1047683852485787,0.3324478470869968,0,1.269451121751211,0.1453438932259476,0.2921910669554655,0,0.8925378158946042,-0.3562595717668679,-0.241385323898753,0,0.5339431837166601,-0.472499082531561,-0.7113870811929662,0,857.032967032967,837.2893772893773,898.5347985347986,956.5567765567766,810.6959706959707,0.466187,0.079407,0.880371,-0.127106,-2.998199,6.063690,1,1,1,1,1,92.187500
2018-12-23 14:34:49.584,1.38814520834445,-0.06411343671277973,1.047781341314263,0,1.142347081312639,-0.3668724988561132,0.5479862022254814,0,1.179049212051103,-0.007563032584739665,0.7949933579270352,0,0.8497239015962906,-0.3884736100343919,0.5767712561158649,0,0.7055613226418466,-0.5007918688120147,0.2187016053708496,0,886.4468864468864,836.0805860805862,881.6117216117217,884.8351648351648,858.6446886446887,0.518066,0.065674,0.850586,0.336456,3.125305,2.923431,1,1,1,1,1,92.187500
2018-12-23 14:34:49.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-12-23 14:34:50.585,1.096195840186706,0.3969575381800474,1.330378539200927,0,0.7337647431406574,0.09565866714939462,0.9667636006891166,0,0.8409266822331154,-0.008575144672682106,0.8506262429414067,0,0.7571912576435763,-0.3396240268507152,0.7737662973156441,0,0.7887524116332603,-0.5673642681948076,0.4310636481594475,0,849.3772893772895,839.3040293040293,877.1794871794872,907.3992673992674,840.9157509157509,0.513123,0.072388,0.856018,0.284119,2.968292,2.407532,1,1,1,1,1,92.187500
2018-12-23 14:34:50.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-12-23 14:34:51.591,0.9743194975025894,0.7445019243842876,1.111417373798255,0,0.3735155116881865,0.005251267290133314,0.4730955283232108,0,1.065261609255217,-0.1557842090098325,0.4267939445679027,0,0.7489462048326139,-0.3265350618162164,-0.168436072306374,0,0.5209821273040395,-0.55451231966532,-0.3931027868049494,0,862.2710622710623,836.4835164835165,873.1501831501831,888.0586080586081,667.2527472527473,0.498169,0.087646,0.864136,0.104675,4.007568,2.467346,1,1,1,1,1,92.187500
2018-12-23 14:34:51.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-12-23 14:34:52.591,0.9743194975025894,0.8639591295955614,1.413450943940679,0,0.3735155116881865,0.1036456894526647,0.7519010862867783,0,1.065261609255217,0.3804565705464322,0.7302010684511679,0,0.7489462048326139,-0.0252180407035183,-0.07005044697191078,0,0.5209821273040395,-0.3341903966597279,-0.0861576714588194,0,836.0805860805862,840.1098901098901,860.6593406593407,903.3699633699634,896.9230769230769,0.484619,0.088623,0.868591,0.246735,2.220612,4.321594,1,2,1,1,2,92.187500
2018-12-23 14:34:52.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
